"Domain authority","SM_Ranking","Organic Traffic","Organic Keyword number","Paid Trafic","Paid keywords","Backlinks","Referring Domains","Pages/Visits","Average visit duration","Bounce rate"
"87","5500","22000000","7800000","0","0","30700000","213800","1.6","06:44:00","75.71"
"75","1800","6600000","573000","25200","604","28000000","85900","2.3","04:59:00","56.47"
"76","16","21100000","1100000","2600000","32500","4300000","12600","3.57","09:25:00","48.45"
"89","1200","42200000","976700","716900","1800","1500000000","141600","3.3","09:58:00","47.28"
"100","70","334700000","37100000","4700000","54900","11400000000","3700000","1.84","09:31:00","65.91"
"73","96","4400000","994200","18200","303","11300000","16900","3.59","10:10:00","51.74"
"52","315","1400000","274700","35900","174","4200000","4700","3.32","06:07:00","45.99"
"72","2300","5700000","711300","120400","1800","44300000","61300","2.49","06:23:00","52.07"
"43","1400","261600","114800","8000","74","555400","5700","1.27","09:05:00","84.30"
"61","233","1900000","285400","440500","4400","1100000","7500","1.48","08:50:00","81.39"
"29","39900","4800","19500","104","4","63100","3600","1.9","06:05:00","72.63"
"74","25900","3500000","2800000","108500","1100","49700000","109400","5.03","10:24:00","44.29"
"37","1800","189900","90400","7100","691","347400","4500","4.53","07:34:00","43.28"
"83","1000","16600000","1900000","68100","336","64000000","173000","2.31","06:37:00","57.07"
"62","115","3600000","435300","275600","7800","2900000","7100","2.34","07:59:00","52.52"
"58","178","2600000","669900","21300","1000","24100000","11600","1.61","09:56:00","75.62"
"53","647","638500","276800","163700","4000","5100000","7500","1.92","02:09:00","58.10"
"51","1000","372400","153500","79000","1600","3400000","3800","2.42","09:57:00","66.16"
"91","8","43200000","3500000","1300000","21900","23500000","18400","4.42","14:43:00","35.82"
"70","154","2900000","249700","192600","3000","47100000","15900","3.52","08:09:00","42.22"
"73","37700","11000000","3500000","17800","248","18500000","63300","5.33","23:43:00","67.11"
"38","2600","120500","30300","8500","80","118500","4100","5.41","08:25:00","43.06"
"41","2600","122800","89100","761","17","331600","2900","1.85","05:40:00","61.26"
"55","544","781200","340800","147","4","8600000","13200","1.24","05:39:00","85.56"
"52","1000","358400","108900","4800","65","2900000","6900","7.71","18:55:00","20.77"
"59","250","1800000","115800","119200","651","716600","5600","4.32","08:04:00","38.82"
"80","1600","13800000","2600000","955","21","5500000","27600","3.84","05:29:00","40.20"
"72","46100","2200000","7300000","4600","173","115200000","445400","1.35","12:21:00","86.74"
"67","87","4600000","365700","150900","1900","1500000","6100","4.55","08:16:00","44.02"
"100","162","139000000","9000000","11800000","160500","209900000","347500","3.33","07:20:00","52.97"
"41","216500","95100","68500","0","0","71300","6500","1.27","03:58:00","82.88"
"39","5500","52000","46700","2800","82","2900000","8300","1.52","10:31:00","79.87"
"47","7600","230000","97700","33000","488","185800000","149600","1.72","10:34:00","71.27"
"58","301","1500000","1100000","15100","421","16000000","11600","1.8","04:36:00","72.57"
"60","100","4200000","508900","641500","10100","4000000","10600","7.98","18:36:00","64.90"
"35","3700","81000","28700","611","19","178300","3200","2.42","05:53:00","66.69"
"74","79","5200000","2000000","21200","1","2000000","6900","3.26","08:18:00","54.94"
"82","814","10900000","10400000","16","1","2700000000","155200","3.88","10:15:00","54.26"
"100","101","110400000","8400000","1600000","3800","871500000","236600","2.58","06:06:00","57.89"
"35","1800000","138600","35500","21","6","246200","5100","7.29","09:19:00","32.84"
"35","4000","73300","28600","2500","48","875400","4300","2.82","05:52:00","57.52"
"58","330","1300000","103500","479000","3500","1400000","7100","3.15","07:21:00","45.15"
"46","104400","76400","32800","1400","41","876800","5800","3.33","03:03:00","43.05"
"79","39600","14700000","1200000","110700","113","7100000","71900","1.6","19:27:00","71.20"
"44","1400","252600","111600","13600","329","4200000","5200","4.04","10:11:00","42.23"
"44","186100","146300","21900","46","24","183300","6800","2.88","04:49:00","50.08"
"42","1900","179200","27100","37300","742","1300000","2600","3.46","13:37:00","58.28"
"76","1700","6300000","690800","4700","71","25100000","55700","2.6","05:48:00","53.03"
"72","3300","3500000","3300000","57100","3800","197900000","22000","4.08","10:05:00","55.22"
"51","842","461500","44200","44300","625","83600","1600","1.73","11:02:00","65.29"
"69","228100","1300000","820200","684900","24100","4800000","16100","1.3","04:21:00","79.59"
"42","1600","212100","150300","60","3","707300","6900","1.75","03:39:00","74.03"
"100","3400","192700000","43000000","12900000","75000","240500000","290900","3.15","14:15:00","52.82"
"72","3700","4400000","611300","142200","201","1200000","14200","2.48","12:22:00","56.76"
"100","1","12600000000","406200000","212400","114","18300000000","6800000","2.1","08:28:00","67.20"
"69","304","1500000","517700","0","0","67900000","20400","2.55","08:31:00","57.41"
"67","75","5400000","638700","66100","1100","2100000","12600","2.18","13:08:00","62.12"
"66","54","7300000","434800","1600000","17800","288900","3700","6.06","10:26:00","37.21"
"82","3500","14100000","9900000","27600","796","122600000","269600","1.99","07:47:00","69.09"
"44","1600","209300","147900","175200","896","458100","5100","1.79","07:06:00","68.86"
"96","145","65900000","40300000","4600000","25600","877300000","291000","5.52","12:49:00","39.68"
"62","133","3300000","2200000","18100","466","2100000","4500","3.08","10:12:00","55.27"
"53","655","641500","78400","7500","43","3500000","3700","3.67","06:12:00","41.93"
"100","219","831200000","127000000","124100000","3300000","12300000000","3500000","7.15","14:12:00","32.32"
"70","95","4500000","1800000","228400","16000","31800000","6800","4.45","09:38:00","45.90"
"39","2700","116200","67400","1900","42","144200","5400","1.48","07:58:00","82.60"
"100","37","696300000","74200000","7900000","53200","9100000000","4500000","2.22","09:50:00","64.17"
"83","933","19000000","2400000","167000","2800","123100000","146100","3.35","08:43:00","47.17"
"65","367","1200000","135000","133000","1100","1600000","3000","3.31","09:44:00","62.15"
"44","2900","109000","111000","22200","326","320500","5000","2","07:41:00","70.71"
"79","2100","9900000","1300000","174700","1700","9000000","83800","1.71","07:18:00","67.11"
"48","1000","357400","57500","19500","274","416200","4900","3.75","10:33:00","52.89"
"72","148","3000000","547600","258","10","16600000","20500","1.35","09:55:00","81.61"
"80","1300","11900000","524900","662","33","10000000","50800","2.32","05:05:00","62.21"
"80","255","11900000","1100000","197900","978","10800000","35600","2.18","13:27:00","58.92"
"44","1200","307700","19100","20000","366","88400","2300","2.24","04:12:00","60.27"
"99","386","107700000","7100000","739600","6700","91700000","389200","3.64","15:53:00","29.61"
"59","199","2300000","221500","53700","439","1300000","6900","1.56","11:07:00","79.83"
"79","41","9500000","729000","687800","6500","7200000","9300","2.15","07:42:00","54.11"
"56","440","990600","96100","86800","2500","433400","4700","4.17","10:41:00","47.19"
"50","761","535700","48100","49300","123","899300","4400","1.62","06:55:00","69.26"
"75","1200","6500000","1000000","11900","910","211300000","53000","4.74","05:24:00","35.41"
"44","1800","188600","54400","1700","143","10800000","5300","3.47","07:45:00","58.67"
"73","91","4600000","340700","144000","1400","1200000","6900","3.29","10:08:00","46.40"
"44","2400","136200","33100","35900","295","187000","2100","1.78","12:16:00","69.70"
"63","94","4500000","390000","132200","1100","95400","3300","2.21","08:15:00","52.88"
"46","1500","241200","7200","36700","129","2600000","3300","3.48","12:24:00","51.86"
"86","2200","19200000","17800000","105300","4300","209200000","432200","3.26","07:01:00","61.83"
"89","372","33000000","2900000","74800","227","231400000","170600","2.85","07:49:00","44.93"
"92","2700","43400000","11800000","724600","24400","352900000","148800","9.09","19:27:00","25.59"
"43","2800","111700","37300","10100","256","166900","4100","2.43","08:26:00","65.15"
"75","40","9400000","2700000","150000","1300","10400000","20300","4.25","09:38:00","54.64"
"46","629","666600","777700","13400","71","12700000","6600","1.52","09:49:00","76.91"
"69","60","6800000","527000","1000000","17100","10100000","10600","2.87","13:41:00","59.93"
"55","973","386100","167100","827","5","1800000","9400","1.35","02:44:00","78.21"
"50","1200","325500","48200","165000","3000","26100","1900","1.56","04:44:00","76.36"
"70","1700","2900000","215900","111","2","16100000","17000","1.54","10:00:00","72.78"
"52","1400","250600","78300","0","0","35000000","1100","2.73","03:27:00","77.47"
"44","1100","347600","157400","951","8","8100000","9500","1.93","07:19:00","75.05"
"62","270","1700000","336200","170300","2500","1800000","2900","2.09","09:37:00","73.85"
"90","815","34100000","4400000","2000000","51900","153000000","356200","2.59","07:34:00","53.02"
"88","544","19600000","3000000","979700","13900","532300000","196500","4.81","22:56:00","44.14"
"96","47","173000000","12100000","4500000","107100","196100000","329300","7.26","11:49:00","30.07"
"45","885","429900","26300","183300","744","151100","3500","3.92","02:34:00","21.83"
"53","1900","457200","1200000","2000","209","6500000","12700","2.73","05:45:00","49.51"
"45","866","445500","113300","1400","32","673100","4300","3.14","08:02:00","50.32"
"44","3400","90800","40200","372","14","44800","3200","2.42","12:24:00","63.67"
"74","774","4900000","444400","227500","5300","2500000","21000","3.21","06:59:00","47.84"
"44","811","486600","88100","6300","131","376000","4200","1.53","04:56:00","77.07"
"65","203","2300000","585400","1000","4","4200000","21300","1.64","06:25:00","73.92"
"61","181","2600000","474200","335300","6500","4100000","10300","2.48","08:31:00","63.98"
"41","2000","164600","28600","60300","1300","100800","3900","3.93","07:31:00","56.10"
"56","466","924200","137700","585500","3800","48500","2700","2.29","07:03:00","74.34"
"53","1900","189400","33600","612","15","862400","7400","3.98","06:46:00","40.66"
"90","164","38800000","1800000","2000000","39300","51000000","136200","2.79","10:35:00","55.33"
"83","941","18800000","2800000","968900","21900","100900000","132400","3.45","10:10:00","46.15"
"64","69","6100000","466100","303100","7400","5200000","9500","1.98","13:55:00","66.99"
"85","1000","21500000","2500000","1600000","39300","67800000","125900","2.43","06:06:00","58.31"
"74","87","4700000","189200","404500","3100","4400000","8400","4.76","07:27:00","36.20"
"55","3700","495500","50200","3500","147","3100000","12000","2.1","05:46:00","57.48"
"49","3800","80000","18700","2900","32","1200000","1500","1.73","12:08:00","67.75"
"65","151","3100000","371100","540700","6200","1900000","9500","3.24","06:23:00","46.62"
"58","313","1500000","375400","925","10","397300","4600","1.22","04:48:00","86.59"
"47","1900","177000","16500","162500","854","33700","2700","3.84","04:05:00","49.96"
"45","1200","292300","26600","62700","448","46300","2700","1.53","05:18:00","78.37"
"89","987","42400000","975500","717700","1800","1500000000","141700","3.3","09:58:00","47.28"
"100","72","333700000","37100000","4900000","56200","11500000000","3700000","1.84","09:31:00","65.91"
"84","484","17800000","1500000","333800","2200","23400000","33800","12.32","17:36:00","24.10"
"74","99","4400000","997700","18300","317","11300000","17100","3.59","10:10:00","51.74"
"67","2300","2400000","382500","44600","803","12500000","52300","2.26","05:11:00","54.13"
"51","318","1400000","275900","39600","199","4300000","4700","3.32","06:07:00","45.99"
"58","186","2500000","485000","10500","977","7900000","4400","1.69","08:11:00","82.06"
"46","1400","246000","59100","16100","517","54200000","4200","2.64","10:21:00","72.25"
"42","1400","252400","115000","9000","82","558700","5800","1.27","09:05:00","84.30"
"61","238","1900000","260000","459100","4500","1100000","7600","1.48","08:50:00","81.39"
"61","238","1900000","286300","459300","4500","1100000","7500","1.48","08:50:00","81.39"
"46","789","501700","57800","125500","2300","131800","3500","2.23","05:05:00","57.28"
"65","340","1300000","367200","5000","48","3400000","14000","1.92","05:21:00","70.49"
"38","1800","191600","90800","8700","856","351500","4500","4.53","07:34:00","43.28"
"62","120","3700000","437100","284400","8500","2900000","7100","2.34","07:59:00","52.52"
"53","657","635100","280700","183600","5400","5100000","7700","1.92","02:09:00","58.10"
"51","1100","349400","153100","76100","1900","3500000","3800","2.42","09:57:00","66.16"
"70","157","2900000","250100","182500","3000","47200000","16000","3.52","08:09:00","42.22"
"62","312","1500000","37300","26000","141","2700000","5600","4.14","15:09:00","49.68"
"88","3500","18400000","3800000","73800","1000","25200000","167400","3.82","05:31:00","36.55"
"81","829","18000000","884200","1100000","12800","71400000","62800","3.4","07:11:00","47.23"
"93","385","45000000","5000000","475700","2100","128600000","172800","2.49","06:37:00","53.15"
"65","51","7500000","439500","1600000","18800","289600","3700","6.06","10:26:00","37.21"
"45","3100","99900","5500","1400","63","22400000","5400","4.56","18:17:00","23.88"
"43","4600","62200","32700","4500","57","3700000","3900","1.92","02:16:00","69.89"
"89","6000","20100000","17200000","60600","622","454600000","560700","1.39","06:04:00","79.09"
"39","4200","69200","64300","31600","720","4500000","2100","2.28","04:51:00","57.81"
"69","3900","4500000","2500000","66400","5800","87500000","55100","1.51","07:48:00","75.53"
"41","4900","58500","75600","10300","224","485500","5300","1.97","22:50:00","68.70"
"41","4500","65600","38300","485","2","998200","4900","2.26","07:48:00","65.05"
"49","3700","350000","216300","9","1","13400000","8400","2.19","09:32:00","56.71"
"75","5400","7900000","1600000","79400","981","3000000","34300","8.02","14:03:00","27.47"
"62","4400","1700000","582900","5300","348","9300000","38500","1.69","05:10:00","74.39"
"69","4200","5600000","315200","222800","7800","1400000","25400","2.94","07:45:00","49.97"
"69","6100","2600000","566400","50600","3200","7300000","58000","2.84","11:10:00","48.89"
"85","5500","11600000","10100000","36100","3000","454500000","540500","1.77","10:22:00","74.59"
"38","4900","58800","11500","2300","6","97900","1400","2","05:23:00","58.52"
"39","5400","52600","46800","2800","82","2900000","8300","1.52","10:31:00","79.87"
"67","5700","4400000","241500","120900","2100","1700000","22800","4.04","06:45:00","39.50"
"35","3900","75100","28600","2500","49","876200","4300","2.82","05:52:00","57.52"
"93","5500","26900000","11200000","0","1","91900000","177200","2.42","11:39:00","67.10"
"91","3900","26500000","7100000","236500","3200","339100000","524100","2.4","10:35:00","62.62"
"64","3900","1200000","40900","2","2","21100000","21000","2.62","20:31:00","62.50"
"72","3600","4800000","771800","153900","2200","58600000","80500","3.14","07:02:00","52.20"
"44","1600","209800","147500","161600","747","454500","5000","1.79","07:06:00","68.86"
"96","143","66500000","40300000","4600000","25300","874100000","290300","5.52","12:49:00","39.68"
"94","3","155500000","8800000","3600000","28400","162200000","89000","7.08","14:13:00","32.15"
"62","118","3600000","2200000","17400","405","2000000","4400","3.08","10:12:00","55.27"
"100","211","837800000","127300000","124800000","3300000","12300000000","3500000","7.15","14:12:00","32.32"
"98","4900","251400000","10400000","39800000","125300","515200000","167600","6.8","15:31:00","31.57"
"70","93","4500000","1800000","220800","15500","31500000","6800","4.45","09:38:00","45.90"
"76","3900","7800000","936700","71800","2400","61900000","105300","2.15","06:59:00","58.98"
"42","224800","64000","13200","4100","42","29700","3000","3.81","05:47:00","55.63"
"53","33200","314800","210500","177000","7800","2800000","11000","3.62","13:49:00","43.38"
"83","953","19000000","2400000","163100","2700","122700000","145800","3.35","08:43:00","47.17"
"60","21200","658500","110100","12300","337","516300","16200","1.74","05:04:00","65.30"
"40","21500","31300","84000","151","24","413300","7000","1.7","12:41:00","78.28"
"71","121","3700000","357200","20100","245","4300000","4500","4.59","13:42:00","41.64"
"38","2500","127000","30300","8600","90","118900","4100","5.41","08:25:00","43.06"
"41","2600","120400","89500","761","18","332000","3000","1.85","05:40:00","61.26"
"52","664","628100","67900","78100","383","191300","3000","4.96","07:44:00","24.40"
"56","495","870400","340400","64","4","8600000","13400","1.24","05:39:00","85.56"
"100","1100","180700000","29200000","315600","452","736500000","725300","2.3","10:59:00","58.30"
"94","10500","53400000","10900000","2000000","19000","44700000","149600","3.96","08:35:00","39.80"
"75","11000","4400000","3600000","229700","18900","51500000","128400","2.52","09:53:00","57.20"
"99","59","195400000","27400000","89000000","1200000","2100000000","330000","5.54","14:49:00","34.03"
"48","1000","364500","57500","19300","264","415400","4900","3.75","10:33:00","52.89"
"63","492","861700","201500","24400","371","1100000","4100","3.68","10:36:00","50.85"
"45","1200","307800","19100","19600","354","88300","2300","2.24","04:12:00","60.27"
"60","210","2200000","219100","53100","432","1300000","6800","1.56","11:07:00","79.83"
"80","37","10500000","726400","662300","6400","7100000","9300","2.15","07:42:00","54.11"
"82","12","27900000","5400000","814600","14700","971700000","24700","2.3","05:06:00","55.26"
"36","4100","71800","48000","1700","40","134900","4700","1.14","03:21:00","92.12"
"65","96300","2400000","397200","113800","1300","2600000","29300","3.94","08:22:00","36.76"
"51","121400","200100","247500","63300","220","54900000","77100","1.82","11:45:00","66.65"
"49","2700","117200","63700","0","0","2400000","6000","1.27","11:41:00","90.31"
"63","159","2800000","245700","2900000","32900","13200000","9500","6.29","08:31:00","39.14"
"89","355","34800000","2500000","32200","234","103700000","108800","2.58","04:53:00","45.88"
"46","629","665600","767800","13300","63","12700000","6500","1.52","09:49:00","76.91"
"69","58","6900000","524700","1100000","17100","10100000","10500","2.87","13:41:00","59.93"
"98","25","667800000","80400000","14400","205","1200000000","330700","3.4","11:26:00","54.05"
"28","298100","17700","14300","348","10","49600","1900","2","10:37:00","54.27"
"97","7300","203400000","16500000","335900","1400","198800000","71900","3.55","15:05:00","41.53"
"41","4700","62200","38300","485","2","990500","4800","2.26","07:48:00","65.05"
"57","784500","1200000","646600","75","1","4200000","23700","1.57","08:16:00","78.47"
"47","1600","224400","209200","5200","112","457700","6300","2.45","03:33:00","58.62"
"52","1300","271900","77700","0","0","34900000","1100","2.73","03:27:00","77.47"
"44","1100","322600","156900","951","8","8100000","9500","1.93","07:19:00","75.05"
"62","478","890300","203000","194100","2100","1500000","3600","3.67","07:17:00","47.54"
"97","11600","103400000","11400000","12500","45","81200000","277300","1.42","07:59:00","81.10"
"62","266","1700000","333800","174500","2400","1700000","2900","2.09","09:37:00","73.85"
"90","822","34000000","4400000","2000000","51600","152600000","355600","2.59","07:34:00","53.03"
"88","500","19700000","3000000","978800","13800","530100000","196100","4.81","22:56:00","44.14"
"79","3500","7600000","1600000","73900","1100","99500000","205100","2.56","13:37:00","65.32"
"45","878","435900","26400","178200","731","150400","3500","3.92","02:34:00","21.83"
"31","195400","9500","32400","199","15","2100000","2900","1.84","06:41:00","65.43"
"62","4300","1700000","583600","5200","336","9200000","38300","1.69","05:10:00","74.39"
"45","839","469300","87700","6000","124","374500","4200","1.53","04:56:00","77.07"
"65","182","2500000","584100","1000","4","4200000","21100","1.64","06:25:00","73.92"
"60","179","2600000","472300","312300","6000","4100000","10200","2.48","08:31:00","63.98"
"60","185","2500000","471200","303600","5700","4100000","10200","2.48","08:31:00","63.98"
"34","1100000","18700","12300","1100","35","60100000","3000","3.17","10:12:00","57.57"
"34","1100000","18700","12300","1100","35","60100000","3000","3.17","10:12:00","57.57"
"51","943","395600","277800","17600","117","2400000","3300","4.69","07:22:00","38.09"
"83","961","18700000","2800000","967600","21500","100600000","132100","3.45","10:10:00","46.15"
"64","68","6100000","464100","304000","7100","5100000","9500","1.98","13:55:00","66.99"
"85","993","21600000","2500000","1600000","38800","67600000","125700","2.43","06:06:00","58.31"
"49","2700","117200","63700","0","0","2400000","6000","1.27","11:41:00","90.31"
"39","4300","68500","64200","30300","683","4400000","2100","2.28","04:51:00","57.81"
"13","337500","12600","18300","137","11","7100","529","4.27","09:10:00","50.39"
"62","391","1300000","255800","3800","171","3500000","26000","1.1","08:52:00","91.19"
"50","277200","349400","85900","35","7","184500","8700","3.46","10:44:00","45.25"
"73","89","4500000","337600","139400","1200","1200000","6900","3.29","10:08:00","46.40"
"55","148100","1000000","327600","45700","458","406300","10900","1.23","08:51:00","87.01"
"85","764","22400000","4100000","1900000","49000","85400000","211100","3.7","09:48:00","48.14"
"93","418","48200000","4100000","936800","6400","255500000","203600","2.84","06:49:00","54.99"
"41","5000","57700","75400","4700","215","483500","5200","1.97","22:50:00","68.70"
"43","2700","115200","37300","9300","247","166400","4000","2.43","08:26:00","65.15"
"75","41","9400000","2700000","145900","1200","10400000","20200","4.25","09:38:00","54.64"
"60","1300","2300000","839500","133200","839","7100000","26000","4.17","15:04:00","47.60"
"96","1800","71600000","12800000","1400","106","59900000","222400","1.91","10:24:00","67.07"
"45","3000","101600","21700","688","34","90000","2000","2.87","06:40:00","46.95"
"56","408","1100000","83700","204700","3400","184700","4600","2.21","04:43:00","51.97"
"44","2200","154900","97300","103","6","3300000","8100","6.76","15:37:00","30.77"
"39","3800","78400","60100","9","1","2800000","17700","2.22","09:38:00","69.30"
"59","254","1800000","115600","121000","658","717300","5600","4.32","08:04:00","38.82"
"44","1600","215000","17500","3900","62","389900","1400","1.3","18:31:00","80.64"
"57","302","1500000","180600","116300","1800","12800000","5200","2.06","06:22:00","62.93"
"77","1600","5800000","2800000","106000","2000","28200000","176900","1.49","08:26:00","78.48"
"69","5300","2200000","777200","1","1","7000000","25100","1.4","11:51:00","82.21"
"51","2400","835400","143600","34900","437","557100","9200","2","08:28:00","68.96"
"47","963","387600","26200","60300","982","828700","2200","2.18","11:58:00","59.86"
"64","93","4600000","368300","152200","1900","1600000","6200","4.55","08:16:00","44.02"
"41","1900","173900","38800","4400","295","115400","3300","2.81","09:43:00","61.80"
"100","169","138300000","8900000","12200000","160600","211500000","348600","3.33","07:20:00","52.97"
"41","2000","171000","39200","2500","73","795800","3200","3.41","03:48:00","52.68"
"56","1000","365000","36400","18900","80","8500000","14700","1.43","05:42:00","78.64"
"59","300","1500000","1100000","15400","456","16000000","11800","1.8","04:36:00","72.57"
"60","106","4200000","512200","672200","11000","4000000","10800","7.98","18:36:00","64.90"
"52","665","623900","67500","2300","56","179400","4100","2.22","04:46:00","62.43"
"95","681","48300000","30200000","14300","38","1200000000","1500000","1.92","16:24:00","67.83"
"35","3700","80600","28800","623","20","178800","3300","2.42","05:53:00","66.69"
"40","719","569600","94800","148100","1500","2200000","6800","3.47","06:24:00","54.23"
"65","148","3100000","370500","522900","6100","1900000","9400","3.24","06:23:00","46.62"
"47","1700","200600","16500","164100","834","33600","2700","3.84","04:05:00","49.96"
"45","1300","286100","26600","60100","404","46100","2700","1.53","05:18:00","78.37"
"51","154500","241900","190000","25000","1100","261900","12900","2.99","04:06:00","33.46"
"89","358","33000000","2900000","74600","213","231000000","170400","2.85","07:49:00","44.93"
"100","1600","101600000","60700000","1600000","209900","3900000000","522100","7.7","16:08:00","30.61"
"100","1500","102400000","60900000","1600000","212100","3900000000","521400","7.7","16:08:00","30.61"
"65","479","900800","569300","41700","773","10200000","11300","4.8","10:04:00","42.79"
"75","80","5200000","2000000","21200","2","2000000","6900","3.26","08:18:00","54.94"
"99","107","110300000","8400000","1600000","3700","876300000","237300","2.58","06:06:00","57.89"
"57","333","1300000","79200","9800","100","41200","1400","3.02","09:07:00","52.81"
"58","331","1300000","103700","476100","3500","1400000","7100","3.15","07:21:00","45.15"
"63","116","3800000","1000000","144000","1400","3000000","12700","3.17","07:10:00","66.41"
"81","45","8900000","1200000","15","7","8500000","14100","1.59","02:46:00","70.24"
"44","1400","249400","111700","13300","337","4200000","5300","4.04","10:11:00","42.23"
"42","1900","177100","27200","37800","781","1300000","2600","3.46","13:37:00","58.28"
"55","389","1100000","39500","56700","324","637900","2100","3.92","08:27:00","50.39"
"72","3300","3500000","3300000","57000","3800","198400000","22100","4.08","10:05:00","55.22"
"71","122","3600000","807400","337","4","76200000","18200","3.98","13:45:00","40.62"
"36","1600","226800","150100","60","3","712800","7000","1.75","03:39:00","74.03"
"62","1000","2700000","174500","143400","1900","14400000","17000","2.86","04:22:00","57.17"
"74","89","4700000","324200","210000","1600","20900000","6500","2.13","09:28:00","65.02"
"70","184","2600000","628300","927","15","3200000","20500","2.87","15:20:00","64.29"
"67","77","5400000","640200","65400","1100","2100000","12700","2.18","13:08:00","62.12"
